Time,NodeName,Port,QueueIndex,Length
+0ns,host0,0,0,0
+0ns,host0,1,0,0
+0ns,host1,0,0,0
+0ns,host1,1,0,0
+0ns,host1,2,0,0
+0ns,host2,0,0,0
+0ns,host2,1,0,0
+0ns,host2,2,0,0
+0ns,host2,3,0,0
+0ns,host3,0,0,0
+0ns,host3,1,0,0
+0ns,host3,2,0,0
+0ns,host4,0,0,0
+0ns,host4,1,0,0
+1e+06ns,host0,0,0,1
+1e+06ns,host0,1,0,0
+1e+06ns,host1,0,0,0
+1e+06ns,host1,1,0,0
+1e+06ns,host1,2,0,1
+1e+06ns,host2,0,0,0
+1e+06ns,host2,1,0,0
+1e+06ns,host2,2,0,0
+1e+06ns,host2,3,0,1
+1e+06ns,host3,0,0,0
+1e+06ns,host3,1,0,1
+1e+06ns,host3,2,0,0
+1e+06ns,host4,0,0,1
+1e+06ns,host4,1,0,0
+2e+06ns,host0,0,0,1
+2e+06ns,host0,1,0,0
+2e+06ns,host1,0,0,0
+2e+06ns,host1,1,0,0
+2e+06ns,host1,2,0,1
+2e+06ns,host2,0,0,0
+2e+06ns,host2,1,0,0
+2e+06ns,host2,2,0,0
+2e+06ns,host2,3,0,1
+2e+06ns,host3,0,0,0
+2e+06ns,host3,1,0,1
+2e+06ns,host3,2,0,0
+2e+06ns,host4,0,0,1
+2e+06ns,host4,1,0,0
+3e+06ns,host0,0,0,1
+3e+06ns,host0,1,0,0
+3e+06ns,host1,0,0,0
+3e+06ns,host1,1,0,0
+3e+06ns,host1,2,0,1
+3e+06ns,host2,0,0,0
+3e+06ns,host2,1,0,0
+3e+06ns,host2,2,0,0
+3e+06ns,host2,3,0,1
+3e+06ns,host3,0,0,0
+3e+06ns,host3,1,0,1
+3e+06ns,host3,2,0,0
+3e+06ns,host4,0,0,1
+3e+06ns,host4,1,0,0
+4e+06ns,host0,0,0,1
+4e+06ns,host0,1,0,0
+4e+06ns,host1,0,0,0
+4e+06ns,host1,1,0,0
+4e+06ns,host1,2,0,1
+4e+06ns,host2,0,0,0
+4e+06ns,host2,1,0,0
+4e+06ns,host2,2,0,0
+4e+06ns,host2,3,0,1
+4e+06ns,host3,0,0,0
+4e+06ns,host3,1,0,1
+4e+06ns,host3,2,0,0
+4e+06ns,host4,0,0,1
+4e+06ns,host4,1,0,0
+5e+06ns,host0,0,0,1
+5e+06ns,host0,1,0,0
+5e+06ns,host1,0,0,0
+5e+06ns,host1,1,0,0
+5e+06ns,host1,2,0,1
+5e+06ns,host2,0,0,0
+5e+06ns,host2,1,0,0
+5e+06ns,host2,2,0,0
+5e+06ns,host2,3,0,1
+5e+06ns,host3,0,0,0
+5e+06ns,host3,1,0,1
+5e+06ns,host3,2,0,0
+5e+06ns,host4,0,0,1
+5e+06ns,host4,1,0,0
+6e+06ns,host0,0,0,1
+6e+06ns,host0,1,0,0
+6e+06ns,host1,0,0,0
+6e+06ns,host1,1,0,0
+6e+06ns,host1,2,0,1
+6e+06ns,host2,0,0,0
