Time,RouterName,PkgName,OutputIf
+0ns,host0,pk-host0-to-host1-#0,0
+0ns,host0,pk-host0-to-host1-#1,0
+0ns,host1,pk-host1-to-host2-#2,2
+0ns,host1,pk-host1-to-host2-#3,2
+0ns,host2,pk-host2-to-host1-#4,3
+0ns,host2,pk-host2-to-host1-#5,3
+0ns,host3,pk-host3-to-host1-#6,1
+0ns,host3,pk-host3-to-host1-#7,1
+0ns,host4,pk-host4-to-host1-#8,0
+0ns,host4,pk-host4-to-host1-#9,0
+1e+07ns,host0,pk-host0-to-host1-#10,0
+1e+07ns,host0,pk-host0-to-host1-#11,0
+1e+07ns,host1,pk-host1-to-host2-#12,2
+1e+07ns,host1,pk-host1-to-host2-#13,2
+1e+07ns,host2,pk-host2-to-host1-#14,3
+1e+07ns,host2,pk-host2-to-host1-#15,3
+1e+07ns,host3,pk-host3-to-host1-#16,1
+1e+07ns,host3,pk-host3-to-host1-#17,1
+1e+07ns,host4,pk-host4-to-host1-#18,0
+1e+07ns,host4,pk-host4-to-host1-#19,0
+1.26438e+07ns,host1,pk-host0-to-host1-#0,-1
+1.26438e+07ns,host2,pk-host1-to-host2-#2,-1
+1.26438e+07ns,host1,pk-host2-to-host1-#4,-1
+1.26438e+07ns,host1,pk-host3-to-host1-#6,-1
+1.26438e+07ns,host3,pk-host4-to-host1-#8,1
+2e+07ns,host0,pk-host0-to-host1-#20,0
+2e+07ns,host0,pk-host0-to-host1-#21,0
+2e+07ns,host1,pk-host1-to-host2-#22,2
+2e+07ns,host1,pk-host1-to-host2-#23,2
+2e+07ns,host2,pk-host2-to-host1-#24,3
+2e+07ns,host2,pk-host2-to-host1-#25,3
+2e+07ns,host3,pk-host3-to-host1-#26,1
+2e+07ns,host3,pk-host3-to-host1-#27,1
+2e+07ns,host4,pk-host4-to-host1-#28,0
+2e+07ns,host4,pk-host4-to-host1-#29,0
+2.46438e+07ns,host1,pk-host0-to-host1-#1,-1
+2.46438e+07ns,host2,pk-host1-to-host2-#3,-1
+2.46438e+07ns,host1,pk-host2-to-host1-#5,-1
+2.46438e+07ns,host1,pk-host3-to-host1-#7,-1
+2.46438e+07ns,host3,pk-host4-to-host1-#9,1
+3e+07ns,host0,pk-host0-to-host1-#30,0
+3e+07ns,host0,pk-host0-to-host1-#31,0
+3e+07ns,host1,pk-host1-to-host2-#32,2
+3e+07ns,host1,pk-host1-to-host2-#33,2
+3e+07ns,host2,pk-host2-to-host1-#34,3
+3e+07ns,host2,pk-host2-to-host1-#35,3
+3e+07ns,host3,pk-host3-to-host1-#36,1
+3e+07ns,host3,pk-host3-to-host1-#37,1
+3e+07ns,host4,pk-host4-to-host1-#38,0
+3e+07ns,host4,pk-host4-to-host1-#39,0
+3.66438e+07ns,host1,pk-host0-to-host1-#10,-1
+3.66438e+07ns,host2,pk-host1-to-host2-#12,-1
+3.66438e+07ns,host1,pk-host2-to-host1-#14,-1
+3.66438e+07ns,host1,pk-host3-to-host1-#16,-1
+3.66438e+07ns,host3,pk-host4-to-host1-#18,1
+4e+07ns,host0,pk-host0-to-host1-#40,0
+4e+07ns,host0,pk-host0-to-host1-#41,0
+4e+07ns,host1,pk-host1-to-host2-#42,2
+4e+07ns,host1,pk-host1-to-host2-#43,2
+4e+07ns,host2,pk-host2-to-host1-#44,3
+4e+07ns,host2,pk-host2-to-host1-#45,3
+4e+07ns,host3,pk-host3-to-host1-#46,1
+4e+07ns,host3,pk-host3-to-host1-#47,1
+4e+07ns,host4,pk-host4-to-host1-#48,0
+4e+07ns,host4,pk-host4-to-host1-#49,0
+4.86438e+07ns,host1,pk-host0-to-host1-#11,-1
+4.86438e+07ns,host2,pk-host1-to-host2-#13,-1
+4.86438e+07ns,host1,pk-host2-to-host1-#15,-1
+4.86438e+07ns,host1,pk-host3-to-host1-#17,-1
+4.86438e+07ns,host3,pk-host4-to-host1-#19,1
+5e+07ns,host0,pk-host0-to-host1-#50,0
+5e+07ns,host0,pk-host0-to-host1-#51,0
+5e+07ns,host1,pk-host1-to-host2-#52,2
+5e+07ns,host1,pk-host1-to-host2-#53,2
+5e+07ns,host2,pk-host2-to-host1-#54,3
+5e+07ns,host2,pk-host2-to-host1-#55,3
+5e+07ns,host3,pk-host3-to-host1-#56,1
+5e+07ns,host3,pk-host3-to-host1-#57,1
+5e+07ns,host4,pk-host4-to-host1-#58,0
+5e+07ns,host4,pk-host4-to-host1-#59,0
+6e+07ns,host0,pk-host0-to-host1-#60,0
+6e+07ns,host0,pk-host0-to-host1-#61,0
+6e+07ns,host1,pk-host1-to-host2-#62,2
+6e+07ns,host1,pk-host1-to-host2-#63,2
+6e+07ns,host2,pk-host2-to-host1-#64,3
+6e+07ns,host2,pk-host2-to-host1-#65,3
+6e+07ns,host3,pk-host3-to-host1-#66,1
+6e+07ns,host3,pk-host3-to-host1-#67,1
+6e+07ns,host4,pk-host4-to-host1-#68,0
+6e+07ns,host4,pk-host4-to-host1-#69,0
+6.06438e+07ns,host1,pk-host0-to-host1-#20,-1
+6.06438e+07ns,host2,pk-host1-to-host2-#22,-1
+6.06438e+07ns,host1,pk-host2-to-host1-#24,-1
+6.06438e+07ns,host1,pk-host4-to-host1-#8,-1
+6.06438e+07ns,host3,pk-host4-to-host1-#28,1
+7e+07ns,host0,pk-host0-to-host1-#70,0
+7e+07ns,host0,pk-host0-to-host1-#71,0
+7e+07ns,host1,pk-host1-to-host2-#72,2
+7e+07ns,host1,pk-host1-to-host2-#73,2
+7e+07ns,host2,pk-host2-to-host1-#74,3
+7e+07ns,host2,pk-host2-to-host1-#75,3
+7e+07ns,host3,pk-host3-to-host1-#76,1
+7e+07ns,host3,pk-host3-to-host1-#77,1
+7e+07ns,host4,pk-host4-to-host1-#78,0
+7e+07ns,host4,pk-host4-to-host1-#79,0
+7.26438e+07ns,host1,pk-host0-to-host1-#21,-1
+7.26438e+07ns,host2,pk-host1-to-host2-#23,-1
+7.26438e+07ns,host1,pk-host2-to-host1-#25,-1
+7.26438e+07ns,host1,pk-host3-to-host1-#26,-1
+7.26438e+07ns,host3,pk-host4-to-host1-#29,1
+8e+07ns,host0,pk-host0-to-host1-#80,0
+8e+07ns,host0,pk-host0-to-host1-#81,0
+8e+07ns,host1,pk-host1-to-host2-#82,2
+8e+07ns,host1,pk-host1-to-host2-#83,2
+8e+07ns,host2,pk-host2-to-host1-#84,3
+8e+07ns,host2,pk-host2-to-host1-#85,3
+8e+07ns,host3,pk-host3-to-host1-#86,1
+8e+07ns,host3,pk-host3-to-host1-#87,1
+8e+07ns,host4,pk-host4-to-host1-#88,0
+8e+07ns,host4,pk-host4-to-host1-#89,0
+8.46438e+07ns,host1,pk-host0-to-host1-#30,-1
+8.46438e+07ns,host2,pk-host1-to-host2-#32,-1
+8.46438e+07ns,host1,pk-host2-to-host1-#34,-1
+8.46438e+07ns,host1,pk-host3-to-host1-#27,-1
+8.46438e+07ns,host3,pk-host4-to-host1-#38,1
