PacketName,Size,CreateTime,EndTime,Duration,HopCount,SourceAddress
pk-host13-to-host18-#26,1500,+0ns,+112000ns,112000,1,1.0.0.14
pk-host17-to-host18-#34,1500,+0ns,+112000ns,112000,1,1.0.0.18
pk-host19-to-host18-#38,1500,+0ns,+112000ns,112000,1,1.0.0.20
pk-host23-to-host18-#46,1500,+0ns,+112000ns,112000,1,1.0.0.24
pk-host13-to-host18-#27,1500,+0ns,+124000ns,124000,1,1.0.0.14
pk-host17-to-host18-#35,1500,+0ns,+124000ns,124000,1,1.0.0.18
pk-host19-to-host18-#39,1500,+0ns,+124000ns,124000,1,1.0.0.20
pk-host23-to-host18-#47,1500,+0ns,+124000ns,124000,1,1.0.0.24
pk-host8-to-host18-#16,1500,+0ns,+224000ns,224000,2,1.0.0.9
pk-host12-to-host18-#24,1500,+0ns,+224000ns,224000,2,1.0.0.13
pk-host22-to-host18-#44,1500,+0ns,+224000ns,224000,2,1.0.0.23
pk-host14-to-host18-#28,1500,+0ns,+236000ns,236000,2,1.0.0.15
pk-host16-to-host18-#32,1500,+0ns,+236000ns,236000,2,1.0.0.17
pk-host24-to-host18-#48,1500,+0ns,+236000ns,236000,2,1.0.0.25
pk-host8-to-host18-#17,1500,+0ns,+248000ns,248000,2,1.0.0.9
pk-host12-to-host18-#25,1500,+0ns,+248000ns,248000,2,1.0.0.13
pk-host28-to-host18-#56,1500,+0ns,+248000ns,248000,2,1.0.0.29
pk-host14-to-host18-#29,1500,+0ns,+260000ns,260000,2,1.0.0.15
pk-host16-to-host18-#33,1500,+0ns,+260000ns,260000,2,1.0.0.17
pk-host22-to-host18-#45,1500,+0ns,+260000ns,260000,2,1.0.0.23
pk-host24-to-host18-#49,1500,+0ns,+272000ns,272000,2,1.0.0.25
pk-host28-to-host18-#57,1500,+0ns,+284000ns,284000,2,1.0.0.29
pk-host3-to-host18-#6,1500,+0ns,+336000ns,336000,3,1.0.0.4
pk-host7-to-host18-#14,1500,+0ns,+336000ns,336000,3,1.0.0.8
pk-host21-to-host18-#42,1500,+0ns,+336000ns,336000,3,1.0.0.22
pk-host9-to-host18-#18,1500,+0ns,+348000ns,348000,3,1.0.0.10
pk-host11-to-host18-#22,1500,+0ns,+348000ns,348000,3,1.0.0.12
pk-host27-to-host18-#54,1500,+0ns,+348000ns,348000,3,1.0.0.28
pk-host3-to-host18-#7,1500,+0ns,+360000ns,360000,3,1.0.0.4
pk-host7-to-host18-#15,1500,+0ns,+360000ns,360000,3,1.0.0.8
pk-host21-to-host18-#43,1500,+0ns,+360000ns,360000,3,1.0.0.22
pk-host9-to-host18-#19,1500,+0ns,+372000ns,372000,3,1.0.0.10
pk-host15-to-host18-#30,1500,+0ns,+372000ns,372000,3,1.0.0.16
pk-host27-to-host18-#55,1500,+0ns,+372000ns,372000,3,1.0.0.28
pk-host11-to-host18-#23,1500,+0ns,+384000ns,384000,3,1.0.0.12
pk-host15-to-host18-#31,1500,+0ns,+396000ns,396000,3,1.0.0.16
pk-host2-to-host18-#4,1500,+0ns,+448000ns,448000,4,1.0.0.3
pk-host4-to-host18-#8,1500,+0ns,+448000ns,448000,4,1.0.0.5
pk-host20-to-host18-#40,1500,+0ns,+448000ns,448000,4,1.0.0.21
pk-host6-to-host18-#12,1500,+0ns,+460000ns,460000,4,1.0.0.7
pk-host4-to-host18-#9,1500,+0ns,+460000ns,460000,4,1.0.0.5
pk-host26-to-host18-#52,1500,+0ns,+460000ns,460000,4,1.0.0.27
pk-host2-to-host18-#5,1500,+0ns,+472000ns,472000,4,1.0.0.3
pk-host20-to-host18-#41,1500,+0ns,+472000ns,472000,4,1.0.0.21
pk-host10-to-host18-#20,1500,+0ns,+484000ns,484000,4,1.0.0.11
pk-host26-to-host18-#53,1500,+0ns,+484000ns,484000,4,1.0.0.27
pk-host6-to-host18-#13,1500,+0ns,+496000ns,496000,4,1.0.0.7
pk-host10-to-host18-#21,1500,+0ns,+508000ns,508000,4,1.0.0.11
pk-host1-to-host18-#2,1500,+0ns,+560000ns,560000,5,1.0.0.2
pk-host25-to-host18-#50,1500,+0ns,+560000ns,560000,5,1.0.0.26
pk-host5-to-host18-#10,1500,+0ns,+572000ns,572000,5,1.0.0.6
pk-host25-to-host18-#51,1500,+0ns,+572000ns,572000,5,1.0.0.26
pk-host1-to-host18-#3,1500,+0ns,+584000ns,584000,5,1.0.0.2
pk-host5-to-host18-#11,1500,+0ns,+596000ns,596000,5,1.0.0.6
pk-host0-to-host18-#0,1500,+0ns,+672000ns,672000,6,1.0.0.1
