Time,NodeName,DropBytes
+0ns,host0,0
+0ns,host1,0
+0ns,host2,0
+0ns,host3,0
+0ns,host4,0
+0ns,host5,0
+0ns,host6,0
+0ns,host7,0
+0ns,host8,0
+0ns,host9,0
+0ns,host10,0
+0ns,host11,0
+0ns,host12,0
+0ns,host13,0
+0ns,host14,0
+0ns,host15,0
+0ns,host16,0
+0ns,host17,0
+0ns,host18,0
+0ns,host19,0
+0ns,host20,0
+0ns,host21,0
+0ns,host22,0
+0ns,host23,0
+0ns,host24,0
+0ns,host25,0
+0ns,host26,0
+0ns,host27,0
+0ns,host28,0
+0ns,host29,0
+1e+06ns,host0,0
+1e+06ns,host1,0
+1e+06ns,host2,0
+1e+06ns,host3,0
+1e+06ns,host4,0
+1e+06ns,host5,0
+1e+06ns,host6,0
+1e+06ns,host7,0
+1e+06ns,host8,0
+1e+06ns,host9,0
+1e+06ns,host10,0
+1e+06ns,host11,0
+1e+06ns,host12,0
+1e+06ns,host13,0
+1e+06ns,host14,0
+1e+06ns,host15,0
+1e+06ns,host16,0
+1e+06ns,host17,0
+1e+06ns,host18,0
+1e+06ns,host19,0
+1e+06ns,host20,0
+1e+06ns,host21,0
+1e+06ns,host22,0
+1e+06ns,host23,0
+1e+06ns,host24,0
+1e+06ns,host25,0
+1e+06ns,host26,0
+1e+06ns,host27,0
+1e+06ns,host28,0
+1e+06ns,host29,3000
+2e+06ns,host0,0
+2e+06ns,host1,0
+2e+06ns,host2,0
+2e+06ns,host3,0
+2e+06ns,host4,0
+2e+06ns,host5,0
+2e+06ns,host6,0
+2e+06ns,host7,0
+2e+06ns,host8,0
+2e+06ns,host9,0
+2e+06ns,host10,0
+2e+06ns,host11,0
+2e+06ns,host12,0
+2e+06ns,host13,0
+2e+06ns,host14,0
+2e+06ns,host15,0
+2e+06ns,host16,0
+2e+06ns,host17,0
+2e+06ns,host18,0
+2e+06ns,host19,0
+2e+06ns,host20,0
+2e+06ns,host21,0
+2e+06ns,host22,0
+2e+06ns,host23,0
+2e+06ns,host24,0
+2e+06ns,host25,0
+2e+06ns,host26,0
+2e+06ns,host27,0
+2e+06ns,host28,0
+2e+06ns,host29,3000
+3e+06ns,host0,0
+3e+06ns,host1,0
+3e+06ns,host2,0
+3e+06ns,host3,0
+3e+06ns,host4,0
+3e+06ns,host5,0
+3e+06ns,host6,0
+3e+06ns,host7,0
+3e+06ns,host8,0
+3e+06ns,host9,0
+3e+06ns,host10,0
+3e+06ns,host11,0
+3e+06ns,host12,0
+3e+06ns,host13,0
+3e+06ns,host14,0
+3e+06ns,host15,0
+3e+06ns,host16,0
+3e+06ns,host17,0
+3e+06ns,host18,0
+3e+06ns,host19,0
+3e+06ns,host20,0
+3e+06ns,host21,0
+3e+06ns,host22,0
+3e+06ns,host23,0
+3e+06ns,host24,0
+3e+06ns,host25,0
+3e+06ns,host26,0
+3e+06ns,host27,0
+3e+06ns,host28,0
+3e+06ns,host29,3000
+4e+06ns,host0,0
+4e+06ns,host1,0
+4e+06ns,host2,0
+4e+06ns,host3,0
+4e+06ns,host4,0
+4e+06ns,host5,0
+4e+06ns,host6,0
+4e+06ns,host7,0
+4e+06ns,host8,0
+4e+06ns,host9,0
+4e+06ns,host10,0
+4e+06ns,host11,0
+4e+06ns,host12,0
+4e+06ns,host13,0
+4e+06ns,host14,0
+4e+06ns,host15,0
+4e+06ns,host16,0
+4e+06ns,host17,0
+4e+06ns,host18,0
+4e+06ns,host19,0
+4e+06ns,host20,0
+4e+06ns,host21,0
+4e+06ns,host22,0
+4e+06ns,host23,0
+4e+06ns,host24,0
+4e+06ns,host25,0
+4e+06ns,host26,0
+4e+06ns,host27,0
+4e+06ns,host28,0
+4e+06ns,host29,3000
+5e+06ns,host0,0
+5e+06ns,host1,0
+5e+06ns,host2,0
+5e+06ns,host3,0
+5e+06ns,host4,0
+5e+06ns,host5,0
+5e+06ns,host6,0
+5e+06ns,host7,0
+5e+06ns,host8,0
