Time,RouterName,PkgName,OutputIf
+0ns,host0,pk-host0-to-host18-#0,2
+0ns,host0,pk-host0-to-host18-#1,2
+0ns,host1,pk-host1-to-host0-#2,3
+0ns,host1,pk-host1-to-host0-#3,3
+0ns,host2,pk-host2-to-host0-#4,3
+0ns,host2,pk-host2-to-host0-#5,3
+0ns,host3,pk-host3-to-host0-#6,3
+0ns,host3,pk-host3-to-host0-#7,3
+0ns,host4,pk-host4-to-host0-#8,3
+0ns,host4,pk-host4-to-host0-#9,3
+0ns,host5,pk-host5-to-host0-#10,1
+0ns,host5,pk-host5-to-host0-#11,1
+0ns,host6,pk-host6-to-host0-#12,1
+0ns,host6,pk-host6-to-host0-#13,1
+0ns,host7,pk-host7-to-host0-#14,1
+0ns,host7,pk-host7-to-host0-#15,1
+0ns,host8,pk-host8-to-host0-#16,1
+0ns,host8,pk-host8-to-host0-#17,1
+0ns,host9,pk-host9-to-host0-#18,3
+0ns,host9,pk-host9-to-host0-#19,3
+0ns,host10,pk-host10-to-host0-#20,1
+0ns,host10,pk-host10-to-host0-#21,1
+0ns,host11,pk-host11-to-host0-#22,1
+0ns,host11,pk-host11-to-host0-#23,1
+0ns,host12,pk-host12-to-host0-#24,1
+0ns,host12,pk-host12-to-host0-#25,1
+0ns,host13,pk-host13-to-host0-#26,1
+0ns,host13,pk-host13-to-host0-#27,1
+0ns,host14,pk-host14-to-host0-#28,3
+0ns,host14,pk-host14-to-host0-#29,3
+0ns,host15,pk-host15-to-host0-#30,1
+0ns,host15,pk-host15-to-host0-#31,1
+0ns,host16,pk-host16-to-host0-#32,1
+0ns,host16,pk-host16-to-host0-#33,1
+0ns,host17,pk-host17-to-host0-#34,1
+0ns,host17,pk-host17-to-host0-#35,1
+0ns,host18,pk-host18-to-host0-#36,1
+0ns,host18,pk-host18-to-host0-#37,1
+0ns,host19,pk-host19-to-host0-#38,3
+0ns,host19,pk-host19-to-host0-#39,3
+0ns,host20,pk-host20-to-host0-#40,1
+0ns,host20,pk-host20-to-host0-#41,1
+0ns,host21,pk-host21-to-host0-#42,1
+0ns,host21,pk-host21-to-host0-#43,1
+0ns,host22,pk-host22-to-host0-#44,1
+0ns,host22,pk-host22-to-host0-#45,1
+0ns,host23,pk-host23-to-host0-#46,1
+0ns,host23,pk-host23-to-host0-#47,1
+0ns,host24,pk-host24-to-host0-#48,3
+0ns,host24,pk-host24-to-host0-#49,3
+0ns,host25,pk-host25-to-host0-#50,1
+0ns,host25,pk-host25-to-host0-#51,1
+0ns,host26,pk-host26-to-host0-#52,1
+0ns,host26,pk-host26-to-host0-#53,1
+0ns,host27,pk-host27-to-host0-#54,1
+0ns,host27,pk-host27-to-host0-#55,1
+0ns,host28,pk-host28-to-host0-#56,1
+0ns,host28,pk-host28-to-host0-#57,1
+112000ns,host1,pk-host0-to-host18-#0,2
+112000ns,host0,pk-host1-to-host0-#2,-1
+112000ns,host1,pk-host2-to-host0-#4,3
+112000ns,host2,pk-host3-to-host0-#6,3
+112000ns,host3,pk-host4-to-host0-#8,3
+112000ns,host0,pk-host5-to-host0-#10,-1
+112000ns,host1,pk-host6-to-host0-#12,3
+112000ns,host2,pk-host7-to-host0-#14,3
+112000ns,host3,pk-host8-to-host0-#16,3
+112000ns,host8,pk-host9-to-host0-#18,1
+112000ns,host5,pk-host10-to-host0-#20,1
+112000ns,host6,pk-host11-to-host0-#22,1
+112000ns,host7,pk-host12-to-host0-#24,1
+112000ns,host8,pk-host13-to-host0-#26,1
+112000ns,host13,pk-host14-to-host0-#28,1
+112000ns,host10,pk-host15-to-host0-#30,1
+112000ns,host11,pk-host16-to-host0-#32,1
+112000ns,host12,pk-host17-to-host0-#34,1
+112000ns,host13,pk-host18-to-host0-#36,1
+112000ns,host18,pk-host19-to-host0-#38,1
+112000ns,host15,pk-host20-to-host0-#40,1
+112000ns,host16,pk-host21-to-host0-#42,1
+112000ns,host17,pk-host22-to-host0-#44,1
+112000ns,host18,pk-host23-to-host0-#46,1
+112000ns,host23,pk-host24-to-host0-#48,1
+112000ns,host20,pk-host25-to-host0-#50,1
+112000ns,host21,pk-host26-to-host0-#52,1
+112000ns,host22,pk-host27-to-host0-#54,1
+112000ns,host23,pk-host28-to-host0-#56,1
+124000ns,host1,pk-host0-to-host18-#1,2
+124000ns,host0,pk-host1-to-host0-#3,-1
+124000ns,host1,pk-host2-to-host0-#5,3
+124000ns,host2,pk-host3-to-host0-#7,3
+124000ns,host3,pk-host4-to-host0-#9,3
+124000ns,host0,pk-host5-to-host0-#11,-1
+124000ns,host1,pk-host6-to-host0-#13,3
+124000ns,host2,pk-host7-to-host0-#15,3
+124000ns,host3,pk-host8-to-host0-#17,3
+124000ns,host8,pk-host9-to-host0-#19,1
+124000ns,host5,pk-host10-to-host0-#21,1
+124000ns,host6,pk-host11-to-host0-#23,1
+124000ns,host7,pk-host12-to-host0-#25,1
+124000ns,host8,pk-host13-to-host0-#27,1
+124000ns,host13,pk-host14-to-host0-#29,1
+124000ns,host10,pk-host15-to-host0-#31,1
+124000ns,host11,pk-host16-to-host0-#33,1
+124000ns,host12,pk-host17-to-host0-#35,1
+124000ns,host13,pk-host18-to-host0-#37,1
+124000ns,host18,pk-host19-to-host0-#39,1
+124000ns,host15,pk-host20-to-host0-#41,1
+124000ns,host16,pk-host21-to-host0-#43,1
+124000ns,host17,pk-host22-to-host0-#45,1
+124000ns,host18,pk-host23-to-host0-#47,1
+124000ns,host23,pk-host24-to-host0-#49,1
+124000ns,host20,pk-host25-to-host0-#51,1
+124000ns,host21,pk-host26-to-host0-#53,1
+124000ns,host22,pk-host27-to-host0-#55,1
+124000ns,host23,pk-host28-to-host0-#57,1
+224000ns,host2,pk-host0-to-host18-#0,2
+224000ns,host0,pk-host2-to-host0-#4,-1
+224000ns,host1,pk-host3-to-host0-#6,3
+224000ns,host2,pk-host4-to-host0-#8,3
+224000ns,host3,pk-host9-to-host0-#18,3
+224000ns,host0,pk-host10-to-host0-#20,-1
+224000ns,host1,pk-host11-to-host0-#22,3
+224000ns,host2,pk-host12-to-host0-#24,3
+224000ns,host8,pk-host14-to-host0-#28,1
+224000ns,host5,pk-host15-to-host0-#30,1
+224000ns,host6,pk-host16-to-host0-#32,1
+224000ns,host7,pk-host17-to-host0-#34,1
+224000ns,host13,pk-host19-to-host0-#38,1
+224000ns,host10,pk-host20-to-host0-#40,1
+224000ns,host11,pk-host21-to-host0-#42,1
+224000ns,host12,pk-host22-to-host0-#44,1
+224000ns,host18,pk-host24-to-host0-#48,1
+224000ns,host15,pk-host25-to-host0-#50,1
+224000ns,host16,pk-host26-to-host0-#52,1
+224000ns,host17,pk-host27-to-host0-#54,1
+236000ns,host2,pk-host0-to-host18-#1,2
+236000ns,host0,pk-host6-to-host0-#12,-1
+236000ns,host1,pk-host7-to-host0-#14,3
+236000ns,host2,pk-host8-to-host0-#16,3
+236000ns,host3,pk-host13-to-host0-#26,3
+236000ns,host0,pk-host10-to-host0-#21,-1
+236000ns,host1,pk-host11-to-host0-#23,3
+236000ns,host2,pk-host12-to-host0-#25,3
+236000ns,host8,pk-host18-to-host0-#36,1
+236000ns,host5,pk-host15-to-host0-#31,1
+236000ns,host6,pk-host16-to-host0-#33,1
+236000ns,host7,pk-host17-to-host0-#35,1
+236000ns,host13,pk-host23-to-host0-#46,1
+236000ns,host10,pk-host20-to-host0-#41,1
+236000ns,host11,pk-host21-to-host0-#43,1
+236000ns,host12,pk-host22-to-host0-#45,1
+236000ns,host18,pk-host28-to-host0-#56,1
+236000ns,host15,pk-host25-to-host0-#51,1
+236000ns,host16,pk-host26-to-host0-#53,1
+236000ns,host17,pk-host27-to-host0-#55,1
+248000ns,host0,pk-host2-to-host0-#5,-1
+248000ns,host1,pk-host3-to-host0-#7,3
+248000ns,host2,pk-host4-to-host0-#9,3
+248000ns,host3,pk-host9-to-host0-#19,3
+248000ns,host8,pk-host14-to-host0-#29,1
+248000ns,host13,pk-host19-to-host0-#39,1
+248000ns,host18,pk-host24-to-host0-#49,1
+260000ns,host0,pk-host6-to-host0-#13,-1
+260000ns,host1,pk-host7-to-host0-#15,3
+260000ns,host2,pk-host8-to-host0-#17,3
+260000ns,host3,pk-host13-to-host0-#27,3
+260000ns,host8,pk-host18-to-host0-#37,1
+260000ns,host13,pk-host23-to-host0-#47,1
+260000ns,host18,pk-host28-to-host0-#57,1
+336000ns,host3,pk-host0-to-host18-#0,0
+336000ns,host0,pk-host3-to-host0-#6,-1
+336000ns,host1,pk-host4-to-host0-#8,3
+336000ns,host2,pk-host9-to-host0-#18,3
+336000ns,host3,pk-host14-to-host0-#28,3
+336000ns,host0,pk-host15-to-host0-#30,-1
+336000ns,host1,pk-host16-to-host0-#32,3
+336000ns,host2,pk-host17-to-host0-#34,3
+336000ns,host8,pk-host19-to-host0-#38,1
+336000ns,host5,pk-host20-to-host0-#40,1
+336000ns,host6,pk-host21-to-host0-#42,1
+336000ns,host7,pk-host22-to-host0-#44,1
+336000ns,host13,pk-host24-to-host0-#48,1
+336000ns,host10,pk-host25-to-host0-#50,1
+336000ns,host11,pk-host26-to-host0-#52,1
+336000ns,host12,pk-host27-to-host0-#54,1
+348000ns,host3,pk-host0-to-host18-#1,0
+348000ns,host0,pk-host11-to-host0-#22,-1
+348000ns,host1,pk-host12-to-host0-#24,3
+348000ns,host2,pk-host13-to-host0-#26,3
+348000ns,host3,pk-host18-to-host0-#36,3
+348000ns,host0,pk-host15-to-host0-#31,-1
+348000ns,host1,pk-host16-to-host0-#33,3
+348000ns,host2,pk-host17-to-host0-#35,3
+348000ns,host8,pk-host23-to-host0-#46,1
+348000ns,host5,pk-host20-to-host0-#41,1
+348000ns,host6,pk-host21-to-host0-#43,1
+348000ns,host7,pk-host22-to-host0-#45,1
+348000ns,host13,pk-host28-to-host0-#56,1
+348000ns,host10,pk-host25-to-host0-#51,1
+348000ns,host11,pk-host26-to-host0-#53,1
+348000ns,host12,pk-host27-to-host0-#55,1
+360000ns,host0,pk-host7-to-host0-#14,-1
+360000ns,host1,pk-host8-to-host0-#16,3
+360000ns,host2,pk-host9-to-host0-#19,3
+360000ns,host3,pk-host14-to-host0-#29,3
+360000ns,host8,pk-host19-to-host0-#39,1
+360000ns,host13,pk-host24-to-host0-#49,1
+372000ns,host0,pk-host11-to-host0-#23,-1
+372000ns,host1,pk-host12-to-host0-#25,3
+372000ns,host2,pk-host13-to-host0-#27,3
+372000ns,host3,pk-host18-to-host0-#37,3
+372000ns,host8,pk-host23-to-host0-#47,1
+372000ns,host13,pk-host28-to-host0-#57,1
+384000ns,host0,pk-host3-to-host0-#7,-1
+384000ns,host1,pk-host4-to-host0-#9,3
+396000ns,host0,pk-host7-to-host0-#15,-1
+396000ns,host1,pk-host8-to-host0-#17,3
+448000ns,host8,pk-host0-to-host18-#0,0
+448000ns,host0,pk-host4-to-host0-#8,-1
+448000ns,host1,pk-host9-to-host0-#18,3
+448000ns,host2,pk-host14-to-host0-#28,3
+448000ns,host3,pk-host19-to-host0-#38,3
+448000ns,host0,pk-host20-to-host0-#40,-1
+448000ns,host1,pk-host21-to-host0-#42,3
+448000ns,host2,pk-host22-to-host0-#44,3
+448000ns,host8,pk-host24-to-host0-#48,1
+448000ns,host5,pk-host25-to-host0-#50,1
+448000ns,host6,pk-host26-to-host0-#52,1
+448000ns,host7,pk-host27-to-host0-#54,1
+460000ns,host8,pk-host0-to-host18-#1,0
+460000ns,host0,pk-host16-to-host0-#32,-1
+460000ns,host1,pk-host17-to-host0-#34,3
+460000ns,host2,pk-host18-to-host0-#36,3
+460000ns,host3,pk-host23-to-host0-#46,3
+460000ns,host0,pk-host20-to-host0-#41,-1
+460000ns,host1,pk-host21-to-host0-#43,3
+460000ns,host2,pk-host22-to-host0-#45,3
+460000ns,host8,pk-host28-to-host0-#56,1
+460000ns,host5,pk-host25-to-host0-#51,1
+460000ns,host6,pk-host26-to-host0-#53,1
+460000ns,host7,pk-host27-to-host0-#55,1
+472000ns,host0,pk-host12-to-host0-#24,-1
+472000ns,host1,pk-host13-to-host0-#26,3
+472000ns,host2,pk-host14-to-host0-#29,3
+472000ns,host3,pk-host19-to-host0-#39,3
